state_name,state,year,small_pox,,count,,,
Maine,ME,1929,1,,,,,
Maryland,MD,1929,0,,,,,
Massachusetts,MA,1929,1,,,,,
Michigan,MI,1929,9,,,,,
Minnesota,MN,1929,0,,,,,
Mississippi,MS,1929,0,,,,,
Missouri,MO,1929,6,,,,,
Montana,MT,1929,2,,,,,
Nebraska,NE,1929,9,,,,,
Nevada,NV,1929,0,,,,,
New Hampshire,NH,1929,0,,,,,
New Jersey,NJ,1929,0,,,,,
New Mexico,NM,1929,0,,,,,
New York,NY,1929,0,,,,,
North Carolina,NC,1929,2,,,,,
North Dakota,ND,1929,1,,,,,
Ohio,OH,1929,3,,,,,
Oklahoma,OK,1929,12,,,,,
Oregon,OR,1929,3,,,,,
Pennsylvania,PA,1929,1,,,,,
Rhode Island,RI,1929,0,,,,,
South Carolina,SC,1929,2,,,,,
Tennessee,TN,1929,2,,,,,
Utah,UT,1929,1,,,,,
Vermont,VT,1929,0,,,,,
Virginia,VA,1929,1,,,,,
Washington,WA,1929,5,,,,,
West Virginia,WV,1929,1,,,,,
Wisconsin,WI,1929,0,,,,,
Wyoming,WY,1929,1,,,,,
Alabama,AL,1930,2,,,,,
Arizona,AZ,1930,6,,,,,
Arkansas,AR,1930,6,,,,,
California,CA,1930,8,,,,,
Colorado,CO,1930,1,,,,,
Connecticut,CT,1930,0,,,,,
Delaware,DE,1930,0,,,,,
Florida,FL,1930,0,,,,,
Georgia,GA,1930,1,,,,,
Idaho,ID,1930,1,,,,,
Illinois,IL,1930,6,,,,,
Indiana,IN,1930,18,,,,,
Iowa,IA,1930,6,,,,,
Kansas,KS,1930,7,,,,,
Kentucky,KY,1930,16,,,,,
Louisiana,LA,1930,0,,,,,
Maine,ME,1930,0,,,,,
Maryland,MD,1930,0,,,,,
Massachusetts,MA,1930,0,,,,,
Michigan,MI,1930,10,,,,,
Minnesota,MN,1930,0,,,,,
Mississippi,MS,1930,2,,,,,
Missouri,MO,1930,5,,,,,
Montana,MT,1930,1,,,,,
Nebraska,NE,1930,7,,,,,
Nevada,NV,1930,0,,,,,
New Hampshire,NH,1930,0,,,,,
New Jersey,NJ,1930,0,,,,,
New Mexico,NM,1930,1,,,,,
New York,NY,1930,0,,,,,
North Carolina,NC,1930,6,,,,,
North Dakota,ND,1930,0,,,,,
Ohio,OH,1930,14,,,,,
Oklahoma,OK,1930,18,,,,,
Oregon,OR,1930,2,,,,,
Pennsylvania,PA,1930,0,,,,,
Rhode Island,RI,1930,0,,,,,
South Carolina,SC,1930,1,,,,,
South Dakota,SD,1930,1,,,,,
Tennessee,TN,1930,3,,,,,
Utah,UT,1930,0,,,,,
Vermont,VT,1930,2,,,,,
Virginia,VA,1930,1,,,,,
Washington,WA,1930,8,,,,,
West Virginia,WV,1930,1,,,,,
Wisconsin,WI,1930,4,,,,,
Wyoming,WY,1930,0,,,,,
Alabama,AL,1931,0,,,,,
Arizona,AZ,1931,0,,,,,
Arkansas,AR,1931,6,,,,,
California,CA,1931,4,,,,,
Colorado,CO,1931,0,,,,,
Connecticut,CT,1931,0,,,,,
Delaware,DE,1931,0,,,,,
Florida,FL,1931,0,,,,,
Georgia,GA,1931,0,,,,,
Idaho,ID,1931,2,,,,,
Illinois,IL,1931,4,,,,,
Indiana,IN,1931,6,,,,,
Iowa,IA,1931,7,,,,,
Kansas,KS,1931,7,,,,,
Kentucky,KY,1931,7,,,,,
Louisiana,LA,1931,2,,,,,
Maine,ME,1931,0,,,,,
Maryland,MD,1931,0,,,,,
Massachusetts,MA,1931,0,,,,,
Michigan,MI,1931,4,,,,,
Minnesota,MN,1931,2,,,,,
Mississippi,MS,1931,3,,,,,
Missouri,MO,1931,9,,,,,
Montana,MT,1931,0,,,,,
Nebraska,NE,1931,2,,,,,
Nevada,NV,1931,0,,,,,
New Hampshire,NH,1931,0,,,,,
New Jersey,NJ,1931,0,,,,,
New Mexico,NM,1931,0,,,,,
New York,NY,1931,0,,,,,
North Carolina,NC,1931,2,,,,,
North Dakota,ND,1931,1,,,,,
Ohio,OH,1931,2,,,,,
Oklahoma,OK,1931,12,,,,,
Oregon,OR,1931,1,,,,,
Pennsylvania,PA,1931,0,,,,,
Rhode Island,RI,1931,0,,,,,
South Carolina,SC,1931,0,,,,,
South Dakota,SD,1931,1,,,,,
Tennessee,TN,1931,4,,,,,
Utah,UT,1931,0,,,,,
Vermont,VT,1931,1,,,,,
Virginia,VA,1931,0,,,,,
Washington,WA,1931,3,,,,,
West Virginia,WV,1931,1,,,,,
Wisconsin,WI,1931,0,,,,,
Wyoming,WY,1931,0,,,,,
Alabama,AL,1932,2,,,,,
Arizona,AZ,1932,0,,,,,
Arkansas,AR,1932,5,,,,,
California,CA,1932,1,,,,,
Colorado,CO,1932,0,,,,,
Connecticut,CT,1932,0,,,,,
Delaware,DE,1932,0,,,,,
Florida,FL,1932,0,,,,,
Georgia,GA,1932,1,,,,,
Idaho,ID,1932,0,,,,,
Illinois,IL,1932,2,,,,,
Indiana,IN,1932,2,,,,,
Iowa,IA,1932,4,,,,,
Kansas,KS,1932,0,,,,,
Kentucky,KY,1932,0,,,,,
Louisiana,LA,1932,0,,,,,
Maine,ME,1932,0,,,,,
Maryland,MD,1932,0,,,,,
Massachusetts,MA,1932,0,,,,,
Michigan,MI,1932,1,,,,,
Minnesota,MN,1932,0,,,,,
Mississippi,MS,1932,5,,,,,
Missouri,MO,1932,2,,,,,
Montana,MT,1932,0,,,,,
Nebraska,NE,1932,1,,,,,
Nevada,NV,1932,0,,,,,
New Hampshire,NH,1932,0,,,,,
New Jersey,NJ,1932,0,,,,,
New Mexico,NM,1932,0,,,,,
New York,NY,1932,0,,,,,
North Carolina,NC,1932,0,,,,,
North Dakota,ND,1932,0,,,,,
Ohio,OH,1932,2,,,,,
Oklahoma,OK,1932,1,,,,,
Oregon,OR,1932,1,,,,,
Pennsylvania,PA,1932,0,,,,,
Rhode Island,RI,1932,0,,,,,
South Carolina,SC,1932,0,,,,,
South Dakota,SD,1932,1,,,,,
Tennessee,TN,1932,1,,,,,
Utah,UT,1932,0,,,,,
Vermont,VT,1932,2,,,,,
Virginia,VA,1932,0,,,,,
Washington,WA,1932,2,,,,,
West Virginia,WV,1932,1,,,,,
Wisconsin,WI,1932,1,,,,,
Wyoming,WY,1932,0,,,,,
Alabama,AL,1933,0,,,,,
Arizona,AZ,1933,0,,,,,
Arkansas,AR,1933,2,,,,,
California,CA,1933,3,,,,,
Colorado,CO,1933,6,,,,,
Connecticut,CT,1933,0,,,,,
Delaware,DE,1933,0,,,,,
Florida,FL,1933,0,,,,,
Georgia,GA,1933,0,,,,,
Idaho,ID,1933,2,,,,,
Illinois,IL,1933,3,,,,,
Indiana,IN,1933,1,,,,,
Iowa,IA,1933,0,,,,,
Kansas,KS,1933,0,,,,,
Kentucky,KY,1933,0,,,,,
Louisiana,LA,1933,0,,,,,
Maine,ME,1933,0,,,,,
Maryland,MD,1933,0,,,,,
Massachusetts,MA,1933,0,,,,,
Michigan,MI,1933,0,,,,,
Minnesota,MN,1933,1,,,,,
Mississippi,MS,1933,0,,,,,
Missouri,MO,1933,1,,,,,
Montana,MT,1933,0,,,,,
Nebraska,NE,1933,1,,,,,
Nevada,NV,1933,0,,,,,
New Hampshire,NH,1933,0,,,,,
New Jersey,NJ,1933,0,,,,,
New Mexico,NM,1933,0,,,,,
New York,NY,1933,0,,,,,
North Carolina,NC,1933,0,,,,,
North Dakota,ND,1933,0,,,,,
Ohio,OH,1933,0,,,,,
Oklahoma,OK,1933,1,,,,,
Oregon,OR,1933,0,,,,,
Pennsylvania,PA,1933,0,,,,,
Rhode Island,RI,1933,0,,,,,
South Carolina,SC,1933,1,,,,,
South Dakota,SD,1933,0,,,,,
Tennessee,TN,1933,0,,,,,
Texas,TX,1933,14,,,,,
Utah,UT,1933,0,,,,,
Vermont,VT,1933,0,,,,,
Virginia,VA,1933,0,,,,,
Washington,WA,1933,2,,,,,
West Virginia,WV,1933,0,,,,,
Wisconsin,WI,1933,1,,,,,
Wyoming,WY,1933,0,,,,,
Alabama,AL,1934,0,,,,,
Arizona,AZ,1934,1,,,,,
Arkansas,AR,1934,1,,,,,
California,CA,1934,1,,,,,
Colorado,CO,1934,0,,,,,
Connecticut,CT,1934,0,,,,,
Delaware,DE,1934,0,,,,,
Florida,FL,1934,0,,,,,
Georgia,GA,1934,1,,,,,
Idaho,ID,1934,0,,,,,
Illinois,IL,1934,0,,,,,
Indiana,IN,1934,1,,,,,
Iowa,IA,1934,1,,,,,
Kansas,KS,1934,0,,,,,
Kentucky,KY,1934,0,,,,,
Louisiana,LA,1934,1,,,,,
Maine,ME,1934,0,,,,,
Maryland,MD,1934,0,,,,,
Massachusetts,MA,1934,0,,,,,
Michigan,MI,1934,0,,,,,
Minnesota,MN,1934,0,,,,,
Mississippi,MS,1934,0,,,,,
Missouri,MO,1934,2,,,,,
Montana,MT,1934,0,,,,,
Nebraska,NE,1934,1,,,,,
Nevada,NV,1934,0,,,,,
New Hampshire,NH,1934,0,,,,,
New Jersey,NJ,1934,0,,,,,
New Mexico,NM,1934,0,,,,,
New York,NY,1934,0,,,,,
North Carolina,NC,1934,0,,,,,
North Dakota,ND,1934,1,,,,,
Ohio,OH,1934,0,,,,,
Oklahoma,OK,1934,0,,,,,
Oregon,OR,1934,1,,,,,
Pennsylvania,PA,1934,0,,,,,
Rhode Island,RI,1934,0,,,,,
South Carolina,SC,1934,0,,,,,
South Dakota,SD,1934,1,,,,,
Tennessee,TN,1934,0,,,,,
Texas,TX,1934,8,,,,,
Utah,UT,1934,0,,,,,
Vermont,VT,1934,0,,,,,
Virginia,VA,1934,1,,,,,
Washington,WA,1934,0,,,,,
West Virginia,WV,1934,0,,,,,
Wisconsin,WI,1934,1,,,,,
Wyoming,WY,1934,1,,,,,
Alabama,AL,1935,0,,,,,
Arizona,AZ,1935,1,,,,,
Arkansas,AR,1935,0,,,,,
California,CA,1935,1,,,,,
Colorado,CO,1935,0,,,,,
Connecticut,CT,1935,0,,,,,
Delaware,DE,1935,0,,,,,
Florida,FL,1935,0,,,,,
Georgia,GA,1935,1,,,,,
Idaho,ID,1935,1,,,,,
Illinois,IL,1935,1,,,,,
Indiana,IN,1935,0,,,,,
Iowa,IA,1935,1,,,,,
Kansas,KS,1935,1,,,,,
Kentucky,KY,1935,1,,,,,
Louisiana,LA,1935,0,,,,,
Maine,ME,1935,0,,,,,
Maryland,MD,1935,0,,,,,
Massachusetts,MA,1935,0,,,,,
Michigan,MI,1935,0,,,,,
Minnesota,MN,1935,1,,,,,
Mississippi,MS,1935,1,,,,,
Missouri,MO,1935,0,,,,,
Montana,MT,1935,1,,,,,
Nebraska,NE,1935,3,,,,,
Nevada,NV,1935,0,,,,,
New Hampshire,NH,1935,0,,,,,
New Jersey,NJ,1935,0,,,,,
New Mexico,NM,1935,1,,,,,
New York,NY,1935,0,,,,,
North Carolina,NC,1935,0,,,,,
North Dakota,ND,1935,1,,,,,
Ohio,OH,1935,0,,,,,
Oklahoma,OK,1935,0,,,,,
Oregon,OR,1935,1,,,,,
Pennsylvania,PA,1935,0,,,,,
Rhode Island,RI,1935,0,,,,,
South Carolina,SC,1935,0,,,,,
South Dakota,SD,1935,2,,,,,
Tennessee,TN,1935,0,,,,,
Texas,TX,1935,5,,,,,
Utah,UT,1935,0,,,,,
Vermont,VT,1935,0,,,,,
Virginia,VA,1935,0,,,,,
Washington,WA,1935,1,,,,,
West Virginia,WV,1935,0,,,,,
Wisconsin,WI,1935,0,,,,,
Wyoming,WY,1935,0,,,,,
Alabama,AL,1936,0,,,,,
Arizona,AZ,1936,0,,,,,
Arkansas,AR,1936,0,,,,,
California,CA,1936,1,,,,,
Colorado,CO,1936,1,,,,,
Connecticut,CT,1936,0,,,,,
Delaware,DE,1936,0,,,,,
Florida,FL,1936,0,,,,,
Georgia,GA,1936,0,,,,,
Idaho,ID,1936,0,,,,,
Illinois,IL,1936,2,,,,,
Indiana,IN,1936,0,,,,,
Iowa,IA,1936,9,,,,,
Kansas,KS,1936,3,,,,,
Kentucky,KY,1936,0,,,,,
Louisiana,LA,1936,1,,,,,
Maine,ME,1936,0,,,,,
Maryland,MD,1936,0,,,,,
Massachusetts,MA,1936,0,,,,,
Michigan,MI,1936,0,,,,,
Minnesota,MN,1936,0,,,,,
Mississippi,MS,1936,1,,,,,
Missouri,MO,1936,1,,,,,
Montana,MT,1936,3,,,,,
Nebraska,NE,1936,5,,,,,
Nevada,NV,1936,1,,,,,
New Hampshire,NH,1936,0,,,,,
New Jersey,NJ,1936,0,,,,,
New Mexico,NM,1936,0,,,,,
New York,NY,1936,0,,,,,
North Carolina,NC,1936,0,,,,,
North Dakota,ND,1936,1,,,,,
Ohio,OH,1936,1,,,,,
Oklahoma,OK,1936,0,,,,,
Oregon,OR,1936,0,,,,,
Pennsylvania,PA,1936,0,,,,,
Rhode Island,RI,1936,0,,,,,
South Carolina,SC,1936,0,,,,,
South Dakota,SD,1936,1,,,,,
Tennessee,TN,1936,0,,,,,
Texas,TX,1936,0,,,,,
Utah,UT,1936,1,,,,,
Vermont,VT,1936,0,,,,,
Virginia,VA,1936,0,,,,,
Washington,WA,1936,2,,,,,
West Virginia,WV,1936,0,,,,,
Wisconsin,WI,1936,0,,,,,
Wyoming,WY,1936,1,,,,,
