year,US Pop,US Change,Connecticut Pop,Connecticut Change,Indiana Pop,Indian Change,Maine Pop,Maine Change,Massachusetts Pop,Massachusetts  Change,Michigan Pop,Michigan Change,New Hampshire Pop,New Hampshire Change,New Jersey Pop,New Jersey Change,New York Pop,New York Change,Rhode Island Pop,Rhode Island Change,,Total State,Total_Ratio
1919,"104,514,000",1.27%,"1,359,000",2.26%,"2,906,000",0.90%,"762,000",0.26%,"3,785,000",2.44%,"3,591,000",2.63%,"443,000",0.68%,"3,136,000",3.06%,"10,252,000",3.18%,"603,000",-0.17%,,"26,837,000",0.2567789961
1918,"103,208,000",-0.06%,"1,329,000",0.15%,"2,880,000",-1.03%,"760,000",-2.19%,"3,695,000",-1.15%,"3,499,000",1.39%,"440,000",-1.57%,"3,043,000",2.25%,"9,936,000",-0.57%,"604,000",-0.33%,,"26,186,000",0.2537206418
1917,"103,268,000",1.28%,"1,327,000",2.55%,"2,910,000",0.45%,"777,000",0.26%,"3,738,000",0.32%,"3,451,000",2.92%,"447,000",0.45%,"2,976,000",1.99%,"9,993,000",1.47%,"606,000",1.34%,,"26,225,000",0.2539508851
1916,"101,961,000",1.41%,"1,294,000",2.86%,"2,897,000",0.84%,"775,000",0.13%,"3,726,000",0.57%,"3,353,000",2.76%,"445,000",0.45%,"2,918,000",2.39%,"9,848,000",1.53%,"598,000",0.17%,,"25,854,000",0.2535675405
1915,"100,546,000",1.45%,"1,258,000",2.03%,"2,873,000",0.56%,"774,000",0.26%,"3,705,000",1.90%,"3,263,000",2.51%,"443,000",0.23%,"2,850,000",2.19%,"9,700,000",1.20%,"597,000",1.36%,,"25,463,000",0.2532472699
1914,"99,111,000",1.94%,"1,233,000",2.07%,"2,857,000",1.17%,"772,000",1.18%,"3,636,000",2.89%,"3,183,000",2.64%,"442,000",0.68%,"2,789,000",2.20%,"9,585,000",1.18%,"589,000",1.90%,,"25,086,000",0.2531101492
1913,"97,225,000",1.98%,"1,208,000",2.72%,"2,824,000",1.40%,"763,000",1.33%,"3,534,000",2.73%,"3,101,000",3.47%,"439,000",1.15%,"2,729,000",2.21%,"9,473,000",1.20%,"578,000",1.94%,,"24,649,000",0.2535253278
1912,"95,335,000",1.57%,"1,176,000",2.35%,"2,785,000",1.24%,"753,000",0.27%,"3,440,000",1.68%,"2,997,000",2.78%,"434,000",0.46%,"2,670,000",2.30%,"9,361,000",1.21%,"567,000",1.98%,,"24,183,000",0.2536633975
1911,"93,863,000",1.58%,"1,149,000",2.41%,"2,751,000",1.40%,"751,000",0.81%,"3,383,000",0.53%,"2,916,000",2.97%,"432,000",0.23%,"2,610,000",2.35%,"9,249,000",1.23%,"556,000",2.02%,,"23,797,000",0.2535290796
1910,"92,407,000",2.12%,"1,122,000",2.28%,"2,713,000",1.31%,"745,000",0.68%,"3,365,000",1.48%,"2,832,000",2.20%,"431,000",0.00%,"2,550,000",2.53%,"9,137,000",2.26%,"545,000",2.44%,,"23,440,000",0.253660437
1909,"90,490,000",2.01%,"1,097,000",1.86%,"2,678,000",0.04%,"740,000",0.68%,"3,316,000",2.00%,"2,771,000",1.80%,"431,000",0.70%,"2,487,000",3.50%,"8,935,000",2.54%,"532,000",2.50%,,"22,987,000",0.2540280694
1908,"88,710,000",1.96%,"1,077,000",1.89%,"2,677,000",-0.07%,"735,000",0.55%,"3,251,000",2.14%,"2,722,000",1.08%,"428,000",1.18%,"2,403,000",3.85%,"8,714,000",2.53%,"519,000",2.77%,,"22,526,000",0.2539285312
1907,"87,008,000",1.82%,"1,057,000",2.32%,"2,679,000",0.60%,"731,000",0.27%,"3,183,000",2.45%,"2,693,000",2.55%,"423,000",1.93%,"2,314,000",3.35%,"8,499,000",2.53%,"505,000",2.64%,,"22,084,000",0.2538157411
1906,"85,450,000",1.94%,"1,033,000",2.28%,"2,663,000",1.06%,"729,000",0.83%,"3,107,000",2.95%,"2,626,000",1.82%,"415,000",-1.89%,"2,239,000",4.09%,"8,289,000",2.54%,"492,000",2.29%,,"21,593,000",0.2526974839
1905,"83,822,000",2.02%,"1,010,000",2.33%,"2,635,000",0.80%,"723,000",0.56%,"3,018,000",1.65%,"2,579,000",1.78%,"423,000",3.93%,"2,151,000",4.93%,"8,084,000",1.98%,"481,000",2.12%,,"21,104,000",0.2517716113
1904,"82,166,000",1.90%,"987,000",1.54%,"2,614,000",0.77%,"719,000",1.41%,"2,969,000",1.54%,"2,534,000",1.16%,"407,000",3.30%,"2,050,000",4.11%,"7,927,000",2.01%,"471,000",2.39%,,"20,678,000",0.2516612711
1903,"80,632,000",1.86%,"972,000",2.10%,"2,594,000",1.05%,"709,000",0.85%,"2,924,000",2.38%,"2,505,000",1.13%,"394,000",-3.67%,"1,969,000",2.71%,"7,771,000",2.09%,"460,000",2.22%,,"20,298,000",0.2517362834
1902,"79,163,000",2.04%,"952,000",2.26%,"2,567,000",1.02%,"703,000",0.57%,"2,856,000",2.22%,"2,477,000",1.10%,"409,000",-0.73%,"1,917,000",1.48%,"7,612,000",2.19%,"450,000",2.04%,,"19,943,000",0.251923247
1901,"77,584,000",1.96%,"931,000",2.31%,"2,541,000",0.91%,"699,000",0.58%,"2,794,000",0.22%,"2,450,000",1.11%,"412,000",0.00%,"1,889,000",0.27%,"7,449,000",2.28%,"441,000",2.56%,,"19,606,000",0.2527067437
1900,"76,094,000",,"910,000",0.00%,"2,518,000",0.00%,"695,000",0.00%,"2,788,000",0.00%,"2,423,000",0.00%,"412,000",0.00%,"1,884,000",0.00%,"7,283,000",0.00%,"430,000",0.00%,,"19,343,000",0.2541987542
